planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,factor_a,factor_b,source_instance
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.201024,15232,1232,,12,19,126,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.201147,15232,796,,12,19,126,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.200986,15232,608,,12,19,126,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.201263,15232,924,,12,19,126,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.401753,131068,103368,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.401662,136240,112852,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.401837,139296,113420,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.401789,140172,101592,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.401802,136932,102492,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.401829,142572,101492,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.401694,137140,108400,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.401966,140132,113376,,13,35,60.0,60,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.200993,3328,664,,12,,,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.201012,3328,800,,12,,,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.201006,3328,912,,12,,,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.201020,3328,912,,12,,,126,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.200946,15104,576,,19,34,90,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.200980,15232,924,,19,34,90,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.200974,15232,656,,19,34,90,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.201007,15232,740,,19,34,90,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.201034,14848,1244,,19,1536,104,104,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-loose,loose,loose,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.201027,14720,924,,29,400,160,160,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-loose__battery-tight,loose,tight,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.201141,14840,1224,,25,9486,153,153,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-loose,tight,loose,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.201108,14848,1556,,36,1475,224,224,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/count-downward-agile/h-irhff__s-alias/controlled_watering/watering__water-tight__battery-tight,tight,tight,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.401701,93916,74336,,18,80,76.0,76,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-loose__battery-loose,loose,loose,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.401679,113064,70152,,19,268,90.0,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-loose__battery-tight,loose,tight,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.602562,163016,152220,,21,5103,94.0,94,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-tight__battery-loose,tight,loose,p001
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.602452,165936,158008,,25,8659,132.0,132,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hadd__s-wastar/controlled_watering/watering__water-tight__battery-tight,tight,tight,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.401717,88248,70056,,18,56,87.0,87,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-loose__battery-loose,loose,loose,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.401726,107836,77552,,21,198,115.0,115,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-loose__battery-tight,loose,tight,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.803519,194596,187272,,21,16251,94.0,94,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-tight__battery-loose,tight,loose,p001
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.602616,186420,173156,,27,8219,156.0,156,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/enhsp/h-hradd__s-wastar/controlled_watering/watering__water-tight__battery-tight,tight,tight,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.201225,3328,716,,32,,,255,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-loose,loose,loose,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.200945,3200,600,,25,,,174,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-loose__battery-tight,loose,tight,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.201213,3328,1488,,37,,,282,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-loose,tight,loose,p001
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.200866,3328,668,,43,,,345,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_watering/watering__water-tight__battery-tight,tight,tight,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-loose__battery-loose,solved,true,0,0.200961,14836,924,,18,105,76,76,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-loose,loose,loose,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-loose__battery-tight,solved,true,0,0.200957,14844,1080,,19,327,90,90,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-loose__battery-tight,loose,tight,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-tight__battery-loose,solved,true,0,0.401874,23940,23940,,21,5829,94,94,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-loose/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-loose,tight,loose,p001
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_watering,watering__water-tight__battery-tight,solved,true,0,0.402112,24500,24500,,24,9842,117,117,valid,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-tight/plan.val,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_watering/watering__water-tight__battery-tight,tight,tight,p001
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,0.401599,22280,22280,,43,2806,452,452,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p002
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,0.200806,18688,608,,49,521,537,537,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p002
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-loose,solved,true,0,0.200926,18688,924,,48,308,414,414,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-loose,tight,loose,p002
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_logistics,logistics__fuel-tight__budget-tight,solved,true,0,0.401793,22392,22392,,37,2275,300,300,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/count-downward-agile/h-irhff__s-alias/controlled_logistics/logistics__fuel-tight__budget-tight,tight,tight,p002
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-loose__budget-loose,solved,true,0,3.814606,1064212,1055320,,30,2065,77.0,77,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-loose,loose,loose,p002
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_logistics,logistics__fuel-loose__budget-tight,solved,true,0,2.814181,992616,992616,,28,1018,71.0,71,valid,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight/plan.val,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/cases/enhsp/h-hadd__s-wastar/controlled_logistics/logistics__fuel-loose__budget-tight,loose,tight,p002
