id	revision	url
enhsp	bb0415c77f924fede7cddcbd27034f2b7ca70521	https://github.com/hstairs/enhsp.git
up-enhsp	68829a458fcca49cca5ff93bd4238e877c506fb3	https://github.com/aiplan4eu/up-enhsp.git
numeric-fast-downward	6b28661fcfb7eddd5a9942f31ef13ef6eef65b07	https://github.com/Kurorororo/numeric-fast-downward.git
lnm-plan-ipc2023	6f521a996a3e5950de9694e1050bbc510c7a5bc9	https://github.com/ipc2023-numeric/team-1.git
patty	651a813d9c61b9b2926dcc9abdeeb05b4b2acb97	https://github.com/matteocarde/patty.git
patty-ipc2026	a5001cc0020df837b6a61df557f40d70596b97eb	https://github.com/ipc2026-numeric/team-2.git
omtplan	36ec27cba246ab0400d4a3362bfb132822c3ea6e	https://github.com/fraleo/OMTPlan.git
omtplan-ipc2023	ea0bc9ee41a69af0844e341fff6f0d96bb5dd7e2	https://github.com/ipc2023-numeric/team-2.git
rantanplan	e2e920e20c73e3561e5b6e16046ef90ec9b4640b	https://github.com/JoanEspasa/rantanplan-public.git
springroll	7ed99df8c21f3c23aea96f596deeb606101ba44e	https://bitbucket.org/enricode/springroll-smt-hybrid-planner.git
bitblast	46423e6c052c1d4a578d73e7f7860b77f9d493c5	https://github.com/LBonassi95/BitBlast.git
panino-ipc2026	67c8c08a1ccca8538bfaaa236534ebd6cf1d778e	https://github.com/ipc2026-numeric/team-3.git
tamerlite	27283add60a75b0a435fc72cdc9000f1493a22b8	https://github.com/fbk-pso/tamerlite.git
tamerlite-ipc2026	64a4f1b3cb76b1e3a4b648a38389e2b903dd655b	https://github.com/ipc2026-numeric/team-4.git
tyr-ipc2026	7ab8878707bd71ad6960a60d54bf70e52928bfb3	https://github.com/ipc2026-numeric/team-5.git
nplanning-ipc2026	a7c639e69ccd14c729d4d2d7d43dae9b93da0e1d	https://github.com/ipc2026-numeric/team-6.git
count-downward-ipc2026	42de0171bc5df11e74609f230195db5c93fc9dbd	https://github.com/ipc2026-numeric/team-7.git
planforge	33fca222390a8258dc3c69f1dd4dab5cf13abb68	https://github.com/mrlab-ai/PlanForge.git
planforge-ipc2026	d1709a925efe75a7c536ce6345befe71823227f1	https://github.com/ipc2026-numeric/team-8.git
pattint-ipc2026	6ad63aa71adbd540d160daf630a5c7e195449ebc	https://github.com/ipc2026-numeric/team-9.git
