planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,source_instance,horizon,stock_regime,critical_ingredient,critical_required_doses,critical_stock
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p001__stock-abundant,solved,true,0,0.200989,5760,600,,27,,,81,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-abundant/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-abundant,p001,very-short,abundant,ingredient3,2,300
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p001__stock-boundary,solved,true,0,0.201049,5760,1084,,27,,,81,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-boundary,p001,very-short,boundary,ingredient3,2,100
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p001__stock-one-short,unsolved,true,0,1.405168,18396,18396,,,,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-one-short,p001,very-short,one-short,ingredient3,2,50
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p001__stock-blocked-zero,unsolved,true,0,0.201121,6016,916,,,,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p001__stock-blocked-zero,p001,very-short,blocked-zero,ingredient3,2,0
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p001__stock-abundant,timeout,true,timeout,60.025100,417528,417528,timeout,,71,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p001__stock-abundant,p001,very-short,abundant,ingredient3,2,300
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p001__stock-boundary,solved,true,0,0.401654,21988,21988,,43,2826,97,97,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p001__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p001__stock-boundary,p001,very-short,boundary,ingredient3,2,100
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p001__stock-one-short,unsolved,true,5,2.610092,36144,36144,,,31558,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p001__stock-one-short,p001,very-short,one-short,ingredient3,2,50
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p001__stock-blocked-zero,unsolved,true,5,0.201001,18176,608,,,0,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p001__stock-blocked-zero,p001,very-short,blocked-zero,ingredient3,2,0
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p001__stock-abundant,timeout,true,timeout,60.029139,340000,340000,timeout,,375,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p001__stock-abundant,p001,very-short,abundant,ingredient3,2,300
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p001__stock-boundary,solved,true,0,3.613764,43476,43476,,33,51186,87,87,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p001__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p001__stock-boundary,p001,very-short,boundary,ingredient3,2,100
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p001__stock-one-short,unsolved,true,5,32.324674,310052,310052,,,986505,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p001__stock-one-short,p001,very-short,one-short,ingredient3,2,50
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p001__stock-blocked-zero,unsolved,true,5,1.003991,28700,28700,,,26877,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p001__stock-blocked-zero,p001,very-short,blocked-zero,ingredient3,2,0
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p001__stock-abundant,timeout,true,timeout,60.020728,733808,733808,timeout,,146043,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p001__stock-abundant,p001,very-short,abundant,ingredient3,2,300
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p001__stock-boundary,solved,true,0,34.931358,506680,499496,,34,284216,82.0,82,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p001__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p001__stock-boundary,p001,very-short,boundary,ingredient3,2,100
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p001__stock-one-short,unsolved,true,0,5.619653,439436,439436,,,49590,-1.0,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p001__stock-one-short,p001,very-short,one-short,ingredient3,2,50
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p001__stock-blocked-zero,unsolved,true,0,0.401770,116244,98472,,,,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p001__stock-blocked-zero,p001,very-short,blocked-zero,ingredient3,2,0
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p001__stock-abundant,timeout,true,timeout,60.016092,718140,718140,timeout,,147497,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p001__stock-abundant,p001,very-short,abundant,ingredient3,2,300
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p001__stock-boundary,solved,true,0,34.522998,511364,504192,,34,284216,82.0,82,valid,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p001__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p001__stock-boundary,p001,very-short,boundary,ingredient3,2,100
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p001__stock-one-short,unsolved,true,0,5.620165,444024,444024,,,49590,-1.0,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p001__stock-one-short,p001,very-short,one-short,ingredient3,2,50
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p001__stock-blocked-zero,unsolved,true,0,0.401901,113320,101884,,,,,,not-run,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p001__stock-blocked-zero,p001,very-short,blocked-zero,ingredient3,2,0
