planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,source_instance,horizon,stock_regime,critical_ingredient,critical_required_doses,critical_stock
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p002__stock-abundant,solved,true,0,0.803115,25548,25548,,47,,,130,valid,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-abundant/plan.val,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-abundant,p002,short,abundant,ingredient2,3,450
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p002__stock-boundary,solved,true,0,0.602452,20228,20228,,47,,,130,valid,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-boundary,p002,short,boundary,ingredient2,3,150
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p002__stock-one-short,timeout,true,timeout,60.010053,97216,97216,timeout,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-one-short,p002,short,one-short,ingredient2,3,100
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p002__stock-blocked-zero,unsolved,true,0,0.201136,8832,612,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p002__stock-blocked-zero,p002,short,blocked-zero,ingredient2,3,0
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p004__stock-abundant,solved,true,0,0.602456,28664,28664,,75,,,206,valid,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-abundant/plan.val,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-abundant,p004,long,abundant,ingredient1,5,750
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p004__stock-boundary,solved,true,0,0.602257,27776,27776,,75,,,206,valid,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-boundary/plan.val,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-boundary,p004,long,boundary,ingredient1,5,250
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p004__stock-one-short,timeout,true,timeout,60.009278,141460,141460,timeout,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-one-short,p004,long,one-short,ingredient1,5,200
metric-ff-cross-v1,h-numeric-hff__s-default,numeric-hff,default,controlled_barman,barman__p004__stock-blocked-zero,unsolved,true,0,0.201050,23936,920,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/metric-ff-cross-v1/h-numeric-hff__s-default/controlled_barman/barman__p004__stock-blocked-zero,p004,long,blocked-zero,ingredient1,5,0
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p002__stock-abundant,timeout,true,timeout,60.030838,268212,268212,timeout,,162,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p002__stock-abundant,p002,short,abundant,ingredient2,3,450
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p002__stock-boundary,timeout,true,timeout,60.030682,285636,285636,timeout,,90,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p002__stock-boundary,p002,short,boundary,ingredient2,3,150
