node,fuel,action,route,level,fuel_cost,successor_node,successor_fuel,successor_solvable,successor_exact_remaining_cost,successor_relaxed_h,bad_action_ranking_candidate
bad-1-0-0,2,a-bad-2-0-0,bad,2,0,bad-2-0-0,2,false,infinity,5,false
bad-1-0-0,2,a-bad-2-0-1,bad,2,0,bad-2-0-1,2,false,infinity,5,false
bad-1-0-1,2,a-bad-2-1-0,bad,2,0,bad-2-1-0,2,false,infinity,5,false
bad-1-0-1,2,a-bad-2-1-1,bad,2,0,bad-2-1-1,2,false,infinity,5,false
bad-2-0-0,2,a-bad-3-0-0,bad,3,0,bad-3-0-0,2,false,infinity,4,false
bad-2-0-0,2,a-bad-3-0-1,bad,3,0,bad-3-0-1,2,false,infinity,4,false
bad-2-0-1,2,a-bad-3-1-0,bad,3,0,bad-3-1-0,2,false,infinity,4,false
bad-2-0-1,2,a-bad-3-1-1,bad,3,0,bad-3-1-1,2,false,infinity,4,false
bad-2-1-0,2,a-bad-3-2-0,bad,3,0,bad-3-2-0,2,false,infinity,4,false
bad-2-1-0,2,a-bad-3-2-1,bad,3,0,bad-3-2-1,2,false,infinity,4,false
bad-2-1-1,2,a-bad-3-3-0,bad,3,0,bad-3-3-0,2,false,infinity,4,false
bad-2-1-1,2,a-bad-3-3-1,bad,3,0,bad-3-3-1,2,false,infinity,4,false
bad-3-0-0,2,a-bad-4-0-0,bad,4,1,bad-4-0-0,1,false,infinity,3,false
bad-3-0-0,2,a-bad-4-0-1,bad,4,1,bad-4-0-1,1,false,infinity,3,false
bad-3-0-1,2,a-bad-4-1-0,bad,4,1,bad-4-1-0,1,false,infinity,3,false
bad-3-0-1,2,a-bad-4-1-1,bad,4,1,bad-4-1-1,1,false,infinity,3,false
bad-3-1-0,2,a-bad-4-2-0,bad,4,1,bad-4-2-0,1,false,infinity,3,false
bad-3-1-0,2,a-bad-4-2-1,bad,4,1,bad-4-2-1,1,false,infinity,3,false
bad-3-1-1,2,a-bad-4-3-0,bad,4,1,bad-4-3-0,1,false,infinity,3,false
