node,fuel,state_solvable,exact_remaining_cost,relaxed_h,false_finite,concrete_successors,finite_relaxed_successors,solvable_successors
bad-1-0-0,2,false,infinity,6,true,2,2,0
bad-1-0-1,2,false,infinity,6,true,2,2,0
bad-2-0-0,2,false,infinity,5,true,2,2,0
bad-2-0-1,2,false,infinity,5,true,2,2,0
bad-2-1-0,2,false,infinity,5,true,2,2,0
bad-2-1-1,2,false,infinity,5,true,2,2,0
bad-3-0-0,2,false,infinity,4,true,2,2,0
bad-3-0-1,2,false,infinity,4,true,2,2,0
bad-3-1-0,2,false,infinity,4,true,2,2,0
bad-3-1-1,2,false,infinity,4,true,2,2,0
bad-3-2-0,2,false,infinity,4,true,2,2,0
bad-3-2-1,2,false,infinity,4,true,2,2,0
bad-3-3-0,2,false,infinity,4,true,2,2,0
bad-3-3-1,2,false,infinity,4,true,2,2,0
bad-4-0-0,1,false,infinity,3,true,2,0,0
bad-4-0-1,1,false,infinity,3,true,2,0,0
bad-4-1-0,1,false,infinity,3,true,2,0,0
bad-4-1-1,1,false,infinity,3,true,2,0,0
bad-4-2-0,1,false,infinity,3,true,2,0,0
bad-4-2-1,1,false,infinity,3,true,2,0,0
bad-4-3-0,1,false,infinity,3,true,2,0,0
bad-4-3-1,1,false,infinity,3,true,2,0,0
bad-4-4-0,1,false,infinity,3,true,2,0,0
bad-4-4-1,1,false,infinity,3,true,2,0,0
bad-4-5-0,1,false,infinity,3,true,2,0,0
bad-4-5-1,1,false,infinity,3,true,2,0,0
bad-4-6-0,1,false,infinity,3,true,2,0,0
bad-4-6-1,1,false,infinity,3,true,2,0,0
bad-4-7-0,1,false,infinity,3,true,2,0,0
bad-4-7-1,1,false,infinity,3,true,2,0,0
bad-5-0-0,0,false,infinity,infinity,false,0,0,0
bad-5-0-1,0,false,infinity,infinity,false,0,0,0
bad-5-1-0,0,false,infinity,infinity,false,0,0,0
bad-5-1-1,0,false,infinity,infinity,false,0,0,0
bad-5-10-0,0,false,infinity,infinity,false,0,0,0
bad-5-10-1,0,false,infinity,infinity,false,0,0,0
bad-5-11-0,0,false,infinity,infinity,false,0,0,0
bad-5-11-1,0,false,infinity,infinity,false,0,0,0
bad-5-12-0,0,false,infinity,infinity,false,0,0,0
bad-5-12-1,0,false,infinity,infinity,false,0,0,0
bad-5-13-0,0,false,infinity,infinity,false,0,0,0
bad-5-13-1,0,false,infinity,infinity,false,0,0,0
bad-5-14-0,0,false,infinity,infinity,false,0,0,0
bad-5-14-1,0,false,infinity,infinity,false,0,0,0
bad-5-15-0,0,false,infinity,infinity,false,0,0,0
bad-5-15-1,0,false,infinity,infinity,false,0,0,0
bad-5-2-0,0,false,infinity,infinity,false,0,0,0
bad-5-2-1,0,false,infinity,infinity,false,0,0,0
bad-5-3-0,0,false,infinity,infinity,false,0,0,0
bad-5-3-1,0,false,infinity,infinity,false,0,0,0
bad-5-4-0,0,false,infinity,infinity,false,0,0,0
bad-5-4-1,0,false,infinity,infinity,false,0,0,0
bad-5-5-0,0,false,infinity,infinity,false,0,0,0
bad-5-5-1,0,false,infinity,infinity,false,0,0,0
bad-5-6-0,0,false,infinity,infinity,false,0,0,0
bad-5-6-1,0,false,infinity,infinity,false,0,0,0
bad-5-7-0,0,false,infinity,infinity,false,0,0,0
bad-5-7-1,0,false,infinity,infinity,false,0,0,0
bad-5-8-0,0,false,infinity,infinity,false,0,0,0
bad-5-8-1,0,false,infinity,infinity,false,0,0,0
bad-5-9-0,0,false,infinity,infinity,false,0,0,0
bad-5-9-1,0,false,infinity,infinity,false,0,0,0
good-1,2,true,8,8,false,1,1,1
good-2,2,true,7,7,false,1,1,1
good-3,2,true,6,6,false,1,1,1
good-4,2,true,5,5,false,1,1,1
good-5,2,true,4,4,false,1,1,1
good-6,2,true,3,3,false,1,1,1
good-7,2,true,2,2,false,1,1,1
good-8,2,true,1,1,false,0,0,0
root,2,true,9,7,false,3,3,1
