domain,planner,heuristic,depth,branching,manifestation_edge,search_states,status,wall_seconds,csv_path
logistics,count-downward-agile,irhff,deep,high,4,12,unsolved,0.101167,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
logistics,count-downward-agile,irhff,deep,low,4,12,unsolved,0.100943,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
logistics,count-downward-agile,irhff,early,high,2,4,unsolved,0.100921,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
logistics,count-downward-agile,irhff,early,low,2,4,unsolved,0.100879,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
logistics,enhsp,hadd,deep,high,4,12,unsolved,0.302447,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
logistics,enhsp,hadd,deep,low,4,12,unsolved,0.302214,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
logistics,enhsp,hadd,early,high,2,4,unsolved,0.302073,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
logistics,enhsp,hadd,early,low,2,4,unsolved,0.302192,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
logistics,enhsp,hradd,deep,high,4,12,unsolved,0.302174,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
logistics,enhsp,hradd,deep,low,4,12,unsolved,0.302115,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
logistics,enhsp,hradd,early,high,2,4,unsolved,0.302054,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
logistics,enhsp,hradd,early,low,2,4,unsolved,0.30226,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
logistics,metric-ff-cross-v1,numeric-hff,deep,high,4,42,unsolved,0.10119,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
logistics,metric-ff-cross-v1,numeric-hff,deep,low,4,26,unsolved,0.100888,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
logistics,metric-ff-cross-v1,numeric-hff,early,high,2,22,unsolved,0.100823,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
logistics,metric-ff-cross-v1,numeric-hff,early,low,2,14,unsolved,0.101006,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
logistics,numeric-fast-downward-local,irhadd,deep,high,4,76,unsolved,0.100838,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
logistics,numeric-fast-downward-local,irhadd,deep,low,4,28,unsolved,0.100842,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
logistics,numeric-fast-downward-local,irhadd,early,high,2,38,unsolved,0.101194,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
logistics,numeric-fast-downward-local,irhadd,early,low,2,10,unsolved,0.10101,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
watering,count-downward-agile,irhff,deep,high,4,12,unsolved,0.100886,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
watering,count-downward-agile,irhff,deep,low,4,12,unsolved,0.100814,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
watering,count-downward-agile,irhff,early,high,2,5,unsolved,0.101098,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
watering,count-downward-agile,irhff,early,low,2,5,unsolved,0.10094,results/delayed-conflict-domain-micro/20260919-224825-826485/results.csv
watering,enhsp,hadd,deep,high,4,12,unsolved,0.302241,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
watering,enhsp,hadd,deep,low,4,12,unsolved,0.302213,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
watering,enhsp,hadd,early,high,2,5,unsolved,0.302183,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
watering,enhsp,hadd,early,low,2,5,unsolved,0.30204,results/delayed-conflict-domain-micro/20260919-224845-449040/results.csv
watering,enhsp,hradd,deep,high,4,12,unsolved,0.302005,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
watering,enhsp,hradd,deep,low,4,12,unsolved,0.201592,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
watering,enhsp,hradd,early,high,2,5,unsolved,0.302176,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
watering,enhsp,hradd,early,low,2,5,unsolved,0.201492,results/delayed-conflict-domain-micro/20260919-224847-945647/results.csv
watering,metric-ff-cross-v1,numeric-hff,deep,high,4,64,unsolved,0.100853,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
watering,metric-ff-cross-v1,numeric-hff,deep,low,4,34,unsolved,0.100821,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
watering,metric-ff-cross-v1,numeric-hff,early,high,2,44,unsolved,0.100837,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
watering,metric-ff-cross-v1,numeric-hff,early,low,2,24,unsolved,0.100873,results/delayed-conflict-domain-micro/20260919-224817-215300/results.csv
watering,numeric-fast-downward-local,irhadd,deep,high,4,153,unsolved,0.100915,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
watering,numeric-fast-downward-local,irhadd,deep,low,4,49,unsolved,0.100834,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
watering,numeric-fast-downward-local,irhadd,early,high,2,64,unsolved,0.100877,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
watering,numeric-fast-downward-local,irhadd,early,low,2,18,unsolved,0.100909,results/delayed-conflict-domain-micro/20260919-224830-440213/results.csv
