domain,instance,planner,heuristic,condition,status,validation,wall_seconds,expanded_nodes,evaluated_states,search_states,objective,csv_path
barman,p001,count-downward-agile,irhff,abundant,timeout,not-run,60.0251,71,,71,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,count-downward-agile,irhff,blocked-zero,unsolved,not-run,0.201001,0,,0,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,count-downward-agile,irhff,boundary,solved,valid,0.401654,2826,,2826,97.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,count-downward-agile,irhff,one-short,unsolved,not-run,2.610092,31558,,31558,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hadd,abundant,timeout,not-run,60.020728,146043,,146043,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hadd,blocked-zero,unsolved,not-run,0.40177,,,,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hadd,boundary,solved,valid,34.931358,284216,,284216,82.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hadd,one-short,unsolved,not-run,5.619653,49590,,49590,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hradd,abundant,timeout,not-run,60.016092,147497,,147497,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hradd,blocked-zero,unsolved,not-run,0.401901,,,,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hradd,boundary,solved,valid,34.522998,284216,,284216,82.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,enhsp,hradd,one-short,unsolved,not-run,5.620165,49590,,49590,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,metric-ff-cross-v1,numeric-hff,abundant,solved,valid,0.200989,,320,320,81.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,metric-ff-cross-v1,numeric-hff,blocked-zero,unsolved,not-run,0.201121,,2,2,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,metric-ff-cross-v1,numeric-hff,boundary,solved,valid,0.201049,,279,279,81.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,metric-ff-cross-v1,numeric-hff,one-short,unsolved,not-run,1.405168,,49047,49047,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,numeric-fast-downward-local,irhadd,abundant,timeout,not-run,60.029139,375,,375,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,numeric-fast-downward-local,irhadd,blocked-zero,unsolved,not-run,1.003991,26877,,26877,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,numeric-fast-downward-local,irhadd,boundary,solved,valid,3.613764,51186,,51186,87.0,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p001,numeric-fast-downward-local,irhadd,one-short,unsolved,not-run,32.324674,986505,,986505,,results/controlled-barman/horizon-stock-p001-20260919-201410-818738/results.csv
barman,p002,count-downward-agile,irhff,abundant,timeout,not-run,60.030838,162,,162,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,count-downward-agile,irhff,blocked-zero,unsolved,not-run,0.401753,0,,0,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,count-downward-agile,irhff,boundary,timeout,not-run,60.030682,90,,90,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,count-downward-agile,irhff,one-short,timeout,not-run,60.030433,78,,78,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hadd,abundant,timeout,not-run,60.018253,41882,,41882,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hadd,blocked-zero,unsolved,not-run,0.401648,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hadd,boundary,timeout,not-run,60.014723,50873,,50873,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hadd,one-short,timeout,not-run,60.015833,56716,,56716,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hradd,abundant,timeout,not-run,60.026195,40283,,40283,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hradd,blocked-zero,unsolved,not-run,0.602683,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hradd,boundary,timeout,not-run,60.019178,49243,,49243,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,enhsp,hradd,one-short,timeout,not-run,60.016224,58224,,58224,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,metric-ff-cross-v1,numeric-hff,abundant,solved,valid,0.803115,,10587,10587,130.0,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,metric-ff-cross-v1,numeric-hff,blocked-zero,unsolved,not-run,0.201136,,2,2,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,metric-ff-cross-v1,numeric-hff,boundary,solved,valid,0.602452,,8477,8477,130.0,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,metric-ff-cross-v1,numeric-hff,one-short,timeout,not-run,60.010053,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,numeric-fast-downward-local,irhadd,abundant,timeout,not-run,60.034084,640,,640,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,numeric-fast-downward-local,irhadd,blocked-zero,timeout,not-run,60.032454,347498,,347498,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,numeric-fast-downward-local,irhadd,boundary,timeout,not-run,60.036361,531,,531,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p002,numeric-fast-downward-local,irhadd,one-short,timeout,not-run,60.028625,531,,531,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,count-downward-agile,irhff,abundant,timeout,not-run,60.035809,40421,,40421,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,count-downward-agile,irhff,blocked-zero,unsolved,not-run,0.802996,0,,0,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,count-downward-agile,irhff,boundary,timeout,not-run,60.035972,32093,,32093,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,count-downward-agile,irhff,one-short,timeout,not-run,60.041573,39856,,39856,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hadd,abundant,timeout,not-run,60.017383,4990,,4990,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hadd,blocked-zero,unsolved,not-run,1.004386,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hadd,boundary,timeout,not-run,60.024686,5563,,5563,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hadd,one-short,timeout,not-run,60.01288,5910,,5910,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hradd,abundant,timeout,not-run,60.015301,5044,,5044,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hradd,blocked-zero,unsolved,not-run,0.803711,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hradd,boundary,timeout,not-run,60.024843,5651,,5651,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,enhsp,hradd,one-short,timeout,not-run,60.013646,5953,,5953,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,metric-ff-cross-v1,numeric-hff,abundant,solved,valid,0.602456,,2762,2762,206.0,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,metric-ff-cross-v1,numeric-hff,blocked-zero,unsolved,not-run,0.20105,,2,2,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,metric-ff-cross-v1,numeric-hff,boundary,solved,valid,0.602257,,2190,2190,206.0,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,metric-ff-cross-v1,numeric-hff,one-short,timeout,not-run,60.009278,,,,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,numeric-fast-downward-local,irhadd,abundant,timeout,not-run,60.03757,1018,,1018,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,numeric-fast-downward-local,irhadd,blocked-zero,timeout,not-run,60.038647,38037,,38037,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,numeric-fast-downward-local,irhadd,boundary,timeout,not-run,60.045195,923,,923,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
barman,p004,numeric-fast-downward-local,irhadd,one-short,timeout,not-run,60.033558,923,,923,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/results.csv
logistics,p001,count-downward-agile,irhff,loose/loose,solved,valid,0.201024,19,,19,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,count-downward-agile,irhff,loose/tight,solved,valid,0.201147,19,,19,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,count-downward-agile,irhff,tight/loose,solved,valid,0.200986,19,,19,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,count-downward-agile,irhff,tight/tight,solved,valid,0.201263,19,,19,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hadd,loose/loose,solved,valid,0.401753,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hadd,loose/tight,solved,valid,0.401662,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hadd,tight/loose,solved,valid,0.401837,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hadd,tight/tight,solved,valid,0.401789,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hradd,loose/loose,solved,valid,0.401802,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
