planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_01_blocksworld,p000.pddl,solved,true,0,0.214173,13824,10208,,1,1,1,1,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_01_blocksworld/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_01_blocksworld/p000
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_02_logistics,p000.pddl,solved,true,0,0.213819,14464,10200,,3,3,3,3,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_02_logistics/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_02_logistics/p000
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_03_books,p000.pddl,solved,true,0,0.213300,14720,10272,,2,2,2,2,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_03_books/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_03_books/p000
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_04_watering,p000.pddl,solved,true,0,0.213346,14336,10420,,3,5,3,3,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_04_watering/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_04_watering/p000
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_05_barman,p000.pddl,solved,true,0,0.213763,14720,10308,,3,8,3,3,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_05_barman/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_05_barman/p000
count-downward-agile,h-irhff__s-alias,irhff,alias,changmin_06_assembly,p000.pddl,solved,true,0,0.213907,14208,10196,,6,7,6,6,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_06_assembly/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/count-downward-agile/h-irhff__s-alias/changmin_06_assembly/p000
enhsp,h-hadd__s-wastar,hadd,WAStar,changmin_01_blocksworld,p000.pddl,solved,true,0,0.213187,74684,21708,,1,2,1.0,1,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hadd__s-wastar/changmin_01_blocksworld/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hadd__s-wastar/changmin_01_blocksworld/p000
enhsp,h-hmax__s-wastar,hmax,WAStar,changmin_01_blocksworld,p000.pddl,solved,true,0,0.221821,74508,26544,,1,2,1.0,1,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hmax__s-wastar/changmin_01_blocksworld/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hmax__s-wastar/changmin_01_blocksworld/p000
enhsp,h-aibr__s-wastar,aibr,WAStar,changmin_01_blocksworld,p000.pddl,unsolved,true,0,0.212195,61980,21172,,,0,-1.0,,not-run,,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-aibr__s-wastar/changmin_01_blocksworld/p000
enhsp,h-hradd__s-wastar,hradd,WAStar,changmin_01_blocksworld,p000.pddl,solved,true,0,0.214373,74580,25548,,1,2,1.0,1,valid,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hradd__s-wastar/changmin_01_blocksworld/p000/plan.val,results/raw/changmin-heuristics-p000-20260912-145532-288189/cases/enhsp/h-hradd__s-wastar/changmin_01_blocksworld/p000
