planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory
numeric-cegar,blind,blind,astar,counters,pfile1.pddl,solved,true,0,0.201142,14196,1216,,12,2775,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/blind/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/blind/counters/pfile1
numeric-cegar,cegar-random,cegar-random,astar,counters,pfile1.pddl,solved,true,0,0.200859,14208,608,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-random/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-random/counters/pfile1
numeric-cegar,cegar-min,cegar-min,astar,counters,pfile1.pddl,solved,true,0,0.200911,14208,1412,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-min/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-min/counters/pfile1
numeric-cegar,cegar-max,cegar-max,astar,counters,pfile1.pddl,solved,true,0,0.200900,14080,592,,12,14,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-max/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-max/counters/pfile1
numeric-cegar,cegar-random-inf,cegar-random-inf,astar,counters,pfile1.pddl,solved,true,0,0.200958,14208,1352,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-random-inf/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-random-inf/counters/pfile1
numeric-cegar,cegar-min-inf,cegar-min-inf,astar,counters,pfile1.pddl,solved,true,0,0.200979,14208,920,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-min-inf/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-min-inf/counters/pfile1
numeric-cegar,cegar-max-inf,cegar-max-inf,astar,counters,pfile1.pddl,solved,true,0,0.201013,14204,792,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-max-inf/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cegar-max-inf/counters/pfile1
numeric-cegar,lmcut,lmcut,astar,counters,pfile1.pddl,solved,true,0,0.201082,14208,1220,,12,39,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/lmcut/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/lmcut/counters/pfile1
numeric-cegar,ipdbs,ipdbs,astar,counters,pfile1.pddl,solved,true,0,0.201109,19556,1488,,12,602,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/ipdbs/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/ipdbs/counters/pfile1
numeric-cegar,pdbs,pdbs,astar,counters,pfile1.pddl,solved,true,0,0.401844,47708,47708,,12,13,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/pdbs/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/pdbs/counters/pfile1
numeric-cegar,cpdbs,cpdbs,astar,counters,pfile1.pddl,solved,true,0,0.602427,70728,70728,,12,602,12,12,valid,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cpdbs/counters/pfile1/plan.val,results/raw/numeric-cegar-20260919-142233-719491/cases/numeric-cegar/cpdbs/counters/pfile1
