planner,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,plan_length,metric_value,validation,case_directory
count-downward-agile,01_LOGISTIC,p001.pddl,solved,true,0,0.114139,14580,15,15,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/01_LOGISTIC/p001
count-downward-agile,02_LOGISTIC_NEW,p001.pddl,solved,true,0,0.114208,15360,24,24,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/02_LOGISTIC_NEW/p001
count-downward-agile,03_BLOCKSWORLD,p001.pddl,solved,true,0,0.114137,14068,14,14,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/03_BLOCKSWORLD/p001
count-downward-agile,04_ROVER_CHANGMIN,p001.pddl,solved,true,0,18.516284,131344,31,168.999,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/04_ROVER_CHANGMIN/p001
count-downward-agile,05_PIPESWORLD_STRIPS,p001.pddl,solved,true,0,0.264901,23668,18,18,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/05_PIPESWORLD_STRIPS/p001
count-downward-agile,06_TSP_NUMERIC,p001.pddl,solved,true,0,0.063897,13696,3,75,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/06_TSP_NUMERIC/p001
count-downward-agile,07_TSP_CONNECTED_NUMERIC,p001.pddl,solved,true,0,0.063909,14080,15,457,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/07_TSP_CONNECTED_NUMERIC/p001
count-downward-agile,08_RAILWAYS_SIMPLE,p001.pddl,solved,true,0,0.063837,13820,9,9,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/08_RAILWAYS_SIMPLE/p001
count-downward-agile,09_WATERING,p001.pddl,solved,true,0,1.019069,33212,63,486,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/09_WATERING/p001
count-downward-agile,10_EIGHT_PUZZLE,p001.pddl,solved,true,0,0.114151,14976,8,8,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/10_EIGHT_PUZZLE/p001
count-downward-agile,11_SEEDSET,p001.pddl,solved,true,0,0.164251,17792,155,1550,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/11_SEEDSET/p001
count-downward-agile,12_BOOKNEW,p001.pddl,solved,true,0,0.114143,14080,16,16,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/12_BOOKNEW/p001
count-downward-agile,13_GROUNDED_TRUCKS,p001.pddl,solved,true,0,0.114169,13952,5,5,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/13_GROUNDED_TRUCKS/p001
count-downward-agile,14_DESIRE,p001.pddl,solved,true,0,0.063920,13696,1,1,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/14_DESIRE/p001
count-downward-agile,15_ISSUE49,p001.pddl,unsolved,true,5,0.063849,13432,,,not-run,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/15_ISSUE49/p001
count-downward-agile,16_TEST1,p001.pddl,solved,true,0,0.063904,14080,5,5,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/16_TEST1/p001
count-downward-agile,17_SATELLITE,p001.pddl,solved,true,0,0.114163,14592,11,108.586,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/17_SATELLITE/p001
count-downward-agile,18_BLOCK_GROUPING,p001.pddl,solved,true,0,0.114133,16896,26,26,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/18_BLOCK_GROUPING/p001
count-downward-agile,19_COUNTERS,p001.pddl,solved,true,0,0.114168,14208,12,12,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/19_COUNTERS/p001
count-downward-agile,20_DELIVERY,p001.pddl,solved,true,0,0.114214,14976,12,28,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/20_DELIVERY/p001
count-downward-agile,21_DRONE,p001.pddl,solved,true,0,0.114008,14072,4,4,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/21_DRONE/p001
count-downward-agile,22_EXPEDITION,p001.pddl,solved,true,0,0.164454,14208,58,58,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/22_EXPEDITION/p001
count-downward-agile,23_EXT_PLANT_WATERING,p001.pddl,solved,true,0,0.315253,15872,451,451,valid,results/raw/selected-10-all-domains-p001-20260911-144247-062274/cases/count-downward-agile/23_EXT_PLANT_WATERING/p001
