planner,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,metric_value,validation,case_directory
count-downward-agile,changmin_02_logistics,p000.pddl,solved,true,0,0.216751,14840,10464,,3,3,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/count-downward-agile/changmin_02_logistics/p000
enhsp,changmin_02_logistics,p000.pddl,solved,true,0,0.211329,77944,21192,,3,3.0,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/enhsp/changmin_02_logistics/p000
metric-ff-cross-v1,changmin_02_logistics,p000.pddl,solved,true,0,0.212658,3328,0,,3,,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/metric-ff-cross-v1/changmin_02_logistics/p000
numeric-fast-downward-local,changmin_02_logistics,p000.pddl,solved,true,0,0.222123,14720,9624,,3,3,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/numeric-fast-downward-local/changmin_02_logistics/p000
optic-cplex,changmin_02_logistics,p000.pddl,timeout,true,timeout,120.203224,3712344,3712344,timeout,,,not-run,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/optic-cplex/changmin_02_logistics/p000
panino-lnp-agile,changmin_02_logistics,p000.pddl,solved,true,0,0.214238,71856,24868,,3,3.0,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/panino-lnp-agile/changmin_02_logistics/p000
pattint-bitwuzla,changmin_02_logistics,p000.pddl,unknown,true,0,0.426708,53564,53564,,,,not-run,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/pattint-bitwuzla/changmin_02_logistics/p000
patty-ipc2026-agile-1,changmin_02_logistics,p000.pddl,unknown,true,0,1.072443,152908,151388,,,,not-run,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/patty-ipc2026-agile-1/changmin_02_logistics/p000
planforge-ipc2026,changmin_02_logistics,p000.pddl,solved,true,0,0.218546,538016,105448,,3,3.000000,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/planforge-ipc2026/changmin_02_logistics/p000
popf-static-v2,changmin_02_logistics,p000.pddl,solved,true,0,0.214561,5760,2768,,3,0.000,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/popf-static-v2/changmin_02_logistics/p000
tamerlite-ipc2026-agile-1,changmin_02_logistics,p000.pddl,solved,true,0,0.637701,147992,147992,,3,,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/tamerlite-ipc2026-agile-1/changmin_02_logistics/p000
tempest-numeric-ipc2026,changmin_02_logistics,p000.pddl,solved,true,0,0.213944,7004,7004,,3,,valid,results/raw/selected-12-logistics-p000-smoke-20260912-133801-553698/cases/tempest-numeric-ipc2026/changmin_02_logistics/p000
