planner,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,plan_length,metric_value,validation,case_directory
count-downward-agile,01_LOGISTIC,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/01_LOGISTIC/p001
count-downward-agile,02_LOGISTIC_NEW,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/02_LOGISTIC_NEW/p001
count-downward-agile,03_BLOCKSWORLD,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/03_BLOCKSWORLD/p001
count-downward-agile,04_ROVER_CHANGMIN,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/04_ROVER_CHANGMIN/p001
count-downward-agile,05_PIPESWORLD_STRIPS,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/05_PIPESWORLD_STRIPS/p001
count-downward-agile,06_TSP_NUMERIC,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/06_TSP_NUMERIC/p001
count-downward-agile,07_TSP_CONNECTED_NUMERIC,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/07_TSP_CONNECTED_NUMERIC/p001
count-downward-agile,08_RAILWAYS_SIMPLE,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/08_RAILWAYS_SIMPLE/p001
count-downward-agile,09_WATERING,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/09_WATERING/p001
count-downward-agile,10_EIGHT_PUZZLE,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/10_EIGHT_PUZZLE/p001
count-downward-agile,11_SEEDSET,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/11_SEEDSET/p001
count-downward-agile,12_BOOKNEW,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/12_BOOKNEW/p001
count-downward-agile,13_GROUNDED_TRUCKS,p001.pddl,dry-run,true,,0,,,,not-run,results/smoke/all-numeric-planners-smoke-20260907-170137-711276/cases/count-downward-agile/13_GROUNDED_TRUCKS/p001
